Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
5092469481,GZH7067,NY,PAS,07/10/2016,7,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0143A,,BX,,,ALLERTON AVE (W/B) @,BARNES AVE,0,1111,D,T,,,,GY,,2001,,0,,FAILURE TO STOP AT RED LIGHT,,,
5092451658,GZH7067,NY,PAS,07/08/2016,7,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0400P,,BX,,,ALLERTON AVE (W/B) @,BARNES AVE,0,1111,D,T,,,,GY,,2001,,0,,FAILURE TO STOP AT RED LIGHT,,,
4006265037,FZX9232,NY,PAS,08/23/2016,5,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0233P,,BX,,,SB WEBSTER AVE @ E 1,94TH ST,0,1111,C,T,,,,BK,,2004,,0,,BUS LANE VIOLATION,,,
8478629828,66623ME,NY,COM,06/14/2017,47,REFG,MITSU,T,10610,34330,34350,20180630,0014,14,14,359594,T102,J,1120A,,NY,O,330,7th Ave,,0,408,l2,,Y,0700A,0700P,WH,,2007,,0,04,47-Double PKG-Midtown,,,
7868300310,37033JV,NY,COM,11/21/2016,69,DELV,INTER,T,10510,34310,34330,20170228,0013,13,13,364832,T102,M,0555P,,NY,F,799,6th Ave,,0,408,h1,,Y,0700A,0700P,WHITE,,2007,,0,31 6,69-Failure to Disp Muni Recpt,,,
5096917368,FZD8593,NY,PAS,06/13/2017,7,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0852P,,QN,,,NORTHERN BLVD (E/B),@ MARATHON PKWY,0,1111,D,T,,,,WH,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
1413609545,X20DCM,NJ,PAS,08/03/2016,40,SDN,TOYOT,P,54070,39430,54930,0,0071,71,71,960290,0071,0000,0215A,,K,F,439,KINGSTON,,0,408,C3,,BBBBBBB,ALL,ALL,WHITE,0,0,-,1,,,,,
4628525523,326SF9,MA,PAS,12/21/2016,36,UT,BMW,V,0,0,0,0,,0,0,0,,,0758A,,BX,,,EB E GUN HILL RD @ B,ARNES AVE,0,1180,B,T,,,,,,2001,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4627113330,HCA5464,NY,OMS,11/21/2016,36,SUBN,DODGE,V,0,0,0,0,,0,0,0,,,1005A,,QN,,,NB BAISLEY BLVD @ 15,5TH ST,0,1180,B,T,,,,BK,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4006478550,VAD7274,VA,PAS,10/05/2016,5,4D,BMW,V,0,0,0,0,,0,0,0,,,0845A,,BX,,,SB WEBSTER AVE @ E 2,04TH ST,0,1111,C,T,,,,BLK,,2008,,0,,BUS LANE VIOLATION,,,
1407740258,2513JMG,NY,COM,01/11/2017,78,DELV,FRUEH,P,0,40404,40404,20161130,106,106,106,960979,0106,0000,0015A,,Q,,126,ST 115 AVE,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2015,-,0,,,,,
8009901763,13657MD,NY,COM,09/27/2016,19,DELV,KENWO,T,10510,34870,34890,20170331,0018,18,18,357355,T400,A,0707A,,NY,O,1365,6th Ave,,0,408,c3,,YYYYYYY,,,RD,,2013,,0,01 9,19-No Stand (bus stop),,,
4625926610,N102911C,NY,OMT,10/27/2016,36,VAN,FORD,V,0,0,0,0,,0,0,0,,,1022A,,QN,,,EB HORACE HARDING EX,PRESSWAY @ PECK AVE,0,1180,B,T,,,,WH,,2008,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
1416492320,FGR5997,NY,PAS,09/30/2016,21,SDN,NISSA,P,53620,74250,74260,20170303,0044,44,44,905733,0044,0000,1150A,,BX,F,1224,NELSON AVE,,0,408,F1,,BYBBYBB,1130A,0100P,TAN,0,0,-,0,,,,,
1413656420,T672371C,NY,PAS,02/04/2017,40,TAXI,TOYOT,P,59630,73470,82230,20170531,0073,73,73,960758,0073,0000,0525A,,K,F,279,MCDOUGAL ST,,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0,2015,-,0,,,,,
7959486440,GYF2052,NY,PAS,07/07/2016,71,4DSD,VOLKS,T,70407,17390,48890,20170527,120,120,120,356557,T303,E,0645P,,R,F,143,N St Austins Pl,,0,408,j6,,,,,GY,,2012,,0,C-PM,71-Insp. Sticker Missing (NYS,,,
5093620865,AD80228,AZ,PAS,09/24/2016,7,TK,FORD,V,0,0,0,0,,0,0,0,,,1122A,,QN,,,SO CONDUIT AVE (E/B),@ 89TH ST,0,1111,D,T,,,,,,2009,,0,,FAILURE TO STOP AT RED LIGHT,,,
8480309064,51771JW,NY,COM,01/26/2017,64,VAN,INTER,T,17850,10210,10110,88888888,0017,17,17,363557,T102,L,0256P,,NY,F,204,E 43rd St,,0,408,C8,,YYYYYYY,,,BROWN,,2007,,0,06,"64-No STD Ex Con/DPL, D/S Dec",,,
1416638830,GLP367,NY,PAS,04/30/2017,20,SUBN,DODGE,P,17650,10110,10010,20180304,0017,17,17,940179,0017,0000,1232A,,NY,O,330,E 33 ST,,0,408,E2,,YYYYYYY,1200A,1159P,BLK,0,2009,-,0,,,,,
4630524241,HJBP29,FL,PAS,02/03/2017,36,4D,BMW,V,0,0,0,0,,0,0,0,,,1034A,,BK,,,WB LINDEN BLVD @ SCH,ENCK AVE,0,1180,B,T,,,,SIL,,2009,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8505131836,87155MA,NY,COM,05/27/2017,38,VAN,CHEVR,T,27050,15350,44890,20171231,0001,1,1,351949,T105,C,1021A,,NY,F,50,Murray St,,0,408,h1,,Y,1000A,0400P,WH,,2016,,0,023,38-Failure to Display Muni Rec,,,
8472853342,HJN6543,NY,PAS,10/04/2016,71,2DSD,LINCO,T,39680,23290,58590,20180915,107,107,107,363074,T402,R,0122P,,Q,F,150-34,Coolidge Ave,,0,408,j6,,YYYYYYY,,,RD,,1989,,0,H 42,71A-Insp Sticker Expired (NYS),,,
8513520615,77026MG,NY,COM,05/31/2017,14,TRAC,VOLVO,T,15710,35670,35690,20180430,0024,24,24,352009,T103,E,0721A,,NY,F,730,Columbus Ave,,0,408,c,,YYYYY,0700A,1000A,GREEN,,2016,,0,H,14-No Standing,,,
8556155431,HFB9919,NY,PAS,05/26/2017,75,4DSD,DODGE,T,10090,7890,7990,20180412,114,114,114,359604,T401,C,0940A,,Q,F,30-87,44th St,,0,408,j5,,YYYYYYY,,,GY,,2013,,0,25-A,75-No Match-Plate/Reg. Sticker,,,
